Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
,"30308, USA",,1/1/2018,28,18.3,22.2,5.8,,0,,14,,68.9,51.57,Partially cloudy
,"30308, USA",,1/2/2018,35,11.8,23.2,3.6,,0,,6,,7.4,50.19,Clear
,"30308, USA",,1/3/2018,37.2,26.2,30.4,19.8,,0,,12,,40,36.58,Partially cloudy
,"30308, USA",,1/4/2018,33.4,20.8,26.6,8.3,,0,,20.2,34.4,1.8,43.07,Clear
,"30308, USA",,1/5/2018,36.2,16.3,25.2,3.6,,0,,13.7,,7.2,40.93,Clear
,"30308, USA",,1/6/2018,38.3,20.5,28.4,13.5,,0,,13.8,,8,39.21,Clear
,"30308, USA",,1/7/2018,37.8,19.6,28.7,12.3,,0,,9.3,,15.5,39.77,Clear
,"30308, USA",,1/8/2018,40.5,30.7,34.9,23.9,,0.2,,8.3,,86.7,62.1,"Rain, Overcast"
,"30308, USA",,1/9/2018,63.7,35.8,48.7,34.5,,0,,7.4,,65.8,87.85,Partially cloudy
,"30308, USA",,1/10/2018,64.1,51.7,58,,,0,,10.1,,97.7,78.39,Overcast
,"30308, USA",,1/11/2018,58.3,51.9,55.4,,,0.1,,11.9,,92.3,98.35,"Rain, Overcast"
,"30308, USA",,1/12/2018,61.1,28.7,52.1,16.5,,0.6,,21.9,34.4,86.2,92.84,"Rain, Overcast"
,"30308, USA",,1/13/2018,34.8,23.8,29.4,12,,0,,20.2,39.1,59.5,68.97,Partially cloudy
,"30308, USA",,1/14/2018,39.8,17.2,27.6,9.8,,0,,11.7,,8,57.52,Clear
,"30308, USA",,1/15/2018,46.8,25.5,34.1,19.7,,0,,6.4,,19.9,59.05,Clear
,"30308, USA",,1/16/2018,48.8,26.7,35.8,17,,0,,12.2,,48,70.65,Partially cloudy
,"30308, USA",,1/17/2018,25.9,13.6,19.8,-2.1,,0.1,2,21,33.5,32.2,67.22,"Snow, Partially cloudy"
,"30308, USA",,1/18/2018,40,14.8,25.9,1.2,,0,1.6,11.9,,0,53.36,"Snow, Clear"
,"30308, USA",,1/19/2018,52.5,26,36.4,19.5,,0,1.2,8.8,,4.2,38.85,"Snow, Clear"
,"30308, USA",,1/20/2018,61.5,27.9,42.7,46.6,,0,,10.2,,23.2,57.5,Clear
,"30308, USA",,1/21/2018,68.1,34.5,49.8,,,0,,6.4,,7.5,70.11,Clear
,"30308, USA",,1/22/2018,61.1,42.1,52.8,42.6,,0.5,,11,32.2,70.5,88.99,"Rain, Partially cloudy"
,"30308, USA",,1/23/2018,61.9,41.8,51.5,35.4,,0,,16.8,32.7,35.4,58.17,Partially cloudy
,"30308, USA",,1/24/2018,52.3,34.6,42.3,27.9,,0,,15.3,,10,54.33,Clear
,"30308, USA",,1/25/2018,56.9,30.7,42.5,28.6,,0,,5.5,,7.4,51.22,Clear
,"30308, USA",,1/26/2018,56.9,31.6,44,30.8,,0,,9.5,,27.1,49.93,Partially cloudy
,"30308, USA",,1/27/2018,56.1,48.2,51.9,45.7,,0.1,,7.3,,98.1,75.24,"Rain, Overcast"
,"30308, USA",,1/28/2018,54.9,51.6,53.3,,,1.1,,7.8,,93.2,98.64,"Rain, Overcast"
,"30308, USA",,1/29/2018,56.4,45,50.6,37.8,,0,,18.5,37.8,45.4,66.59,Partially cloudy
,"30308, USA",,1/30/2018,44.5,30.2,37,21.6,,0,,17.5,32.2,24,50.48,Clear
,"30308, USA",,1/31/2018,54.7,26.9,39.6,24.9,,0,,9.7,,10.6,48.04,Clear
,"30308, USA",,2/1/2018,62.5,35.4,50.6,36.7,,0,,14.3,,84,65.18,Overcast
,"30308, USA",,2/2/2018,45.2,30.5,36.9,21.9,,0.1,,15.8,34.4,34.9,56.22,"Rain, Partially cloudy"
,"30308, USA",,2/3/2018,48.2,30.1,38.3,23.6,,0,,9,,27,37.81,Partially cloudy
,"30308, USA",,2/4/2018,47.3,34.3,41.4,26.1,,1.4,,12,,96.7,84.67,"Rain, Overcast"
,"30308, USA",,2/5/2018,50.5,36.2,41.8,28.6,,0,,13.8,,15.6,70.61,Clear
,"30308, USA",,2/6/2018,67.2,34.7,50.8,39.9,,0,,5.6,,67.3,62.07,Partially cloudy
,"30308, USA",,2/7/2018,61.3,42.2,56.1,34.4,,1.3,,15.8,31.1,97.7,88.85,"Rain, Overcast"
,"30308, USA",,2/8/2018,56.8,33,43.6,25.8,,0,,14.2,,20.1,63.63,Clear
,"30308, USA",,2/9/2018,61.2,33.7,48.2,31.5,,0.2,,10.6,,47.3,66.85,"Rain, Partially cloudy"
,"30308, USA",,2/10/2018,64.2,50.3,55.8,,,0.3,,9,,91,98.7,"Rain, Overcast"
,"30308, USA",,2/11/2018,66.5,61.3,63.9,,,1,,11.4,,100,95.92,"Rain, Overcast"
,"30308, USA",,2/12/2018,61.3,49.2,56.6,46.5,,0.1,,10.3,,99.7,89.53,"Rain, Overcast"
,"30308, USA",,2/13/2018,54.9,46.6,50.6,41.1,,0,,13.2,,99.5,77.48,Overcast
,"30308, USA",,2/14/2018,58.6,47.3,53.1,46.1,,0,,6.1,,99.9,88.43,Overcast
,"30308, USA",,2/15/2018,69,57.5,63.3,,,0,,11.1,,94.5,89.63,Overcast
,"30308, USA",,2/16/2018,74.4,54.1,65.6,,,0,,17.6,32.2,84.3,81.23,Overcast
,"30308, USA",,2/17/2018,76.7,50.3,60.5,,,0,,15.7,34.2,93.3,75.15,Overcast
,"30308, USA",,2/18/2018,68.2,47.8,57.8,46,,0.1,,11.4,,70.2,79.42,"Rain, Partially cloudy"
,"30308, USA",,2/19/2018,70.9,58.2,61.4,,,0,,10.8,,95.6,92.46,Overcast
,"30308, USA",,2/20/2018,74.4,57.1,65.6,,,0,,10,,90.8,85.95,Overcast
,"30308, USA",,2/21/2018,75.5,64.1,69.2,,,0,,11.4,,74.9,85.56,Partially cloudy
,"30308, USA",,2/22/2018,78.7,60.5,68.4,,,0,,8.5,,50.4,80.83,Partially cloudy
,"30308, USA",,2/23/2018,77.4,55.8,66,,,0,,8.2,,44.3,80.14,Partially cloudy
,"30308, USA",,2/24/2018,79.1,62.1,70.6,,,0,,16.1,,72.6,65.59,Partially cloudy
,"30308, USA",,2/25/2018,69.7,60,63.8,,,0.4,,15.1,31.1,82.1,87.3,"Rain, Overcast"
,"30308, USA",,2/26/2018,65,48.8,58,46.6,,0.5,,11.9,,71,85.31,"Rain, Partially cloudy"
,"30308, USA",,2/27/2018,64.2,43.8,53.9,40.7,,0,,11.6,,7.2,65.29,Clear
,"30308, USA",,2/28/2018,60.4,50.9,54.8,,,0.2,,8,,90,87.36,"Rain, Overcast"
,"30308, USA",,3/1/2018,70.3,54.9,59.2,,,0.3,,17.9,37.3,81.6,92.09,"Rain, Overcast"
,"30308, USA",,3/2/2018,56.8,44.5,50.6,38.6,,0,,19.2,32.5,4.1,50.16,Clear
,"30308, USA",,3/3/2018,62.9,37.3,49.6,31.6,,0,,14.8,,0.3,37.98,Clear
,"30308, USA",,3/4/2018,66,34.7,50.6,44.7,,0,,5,,5.2,43.43,Clear
,"30308, USA",,3/5/2018,58.4,39.8,51.5,43.8,,0,,8.4,,75.6,58.01,Overcast
,"30308, USA",,3/6/2018,59.1,48.4,53.8,45.4,,0.6,,11.3,,75,79.18,"Rain, Partially cloudy"
,"30308, USA",,3/7/2018,49.4,39.2,44.5,33,,0,,19.4,35.8,13.6,47.15,Clear
,"30308, USA",,3/8/2018,47.6,33,40.1,27.8,,0,,17.6,30.8,26.1,52.44,Partially cloudy
,"30308, USA",,3/9/2018,59.8,28.9,43.7,25.4,,0,,10.5,,10.7,48.18,Clear
,"30308, USA",,3/10/2018,64.5,36.9,51.7,36.7,,0,,10.1,,53.9,70.84,Partially cloudy
,"30308, USA",,3/11/2018,56.6,51.5,54.2,,,0.8,,6.8,,99.7,95.88,"Rain, Overcast"
,"30308, USA",,3/12/2018,51.7,38.6,45.6,29.1,,0.4,,24.6,42.7,67.4,72.5,"Rain, Partially cloudy"
,"30308, USA",,3/13/2018,53.2,34,43.3,26.5,,0,,15.7,33.3,16.8,52.41,Clear
,"30308, USA",,3/14/2018,50.8,35.2,42.3,26.3,,0,,18.1,31.1,0.6,41.75,Clear
,"30308, USA",,3/15/2018,66.7,31.5,49,27.3,,0,,15.7,31.1,2.4,40.45,Clear
,"30308, USA",,3/16/2018,69.4,42.4,56.5,40,,0,,12,,15.1,46.12,Clear
,"30308, USA",,3/17/2018,73.8,53.1,61.9,,,0.1,,12.8,,62.9,76.4,"Rain, Partially cloudy"
,"30308, USA",,3/18/2018,74.9,56.6,65.2,,,0,,8.7,,34,57.57,Partially cloudy
,"30308, USA",,3/19/2018,63.3,56.3,59.4,,,0.2,,15.6,,99.8,93.47,"Rain, Overcast"
,"30308, USA",,3/20/2018,67.8,48.5,58.1,41.9,,1.1,,21.1,37.8,81.2,83.64,"Rain, Overcast"
,"30308, USA",,3/21/2018,48.7,36.7,42.8,28.2,,0,,21.7,36.8,75.2,60.02,Overcast
,"30308, USA",,3/22/2018,56.4,33,44.4,27,,0,,17.5,33.3,0.9,50.58,Clear
,"30308, USA",,3/23/2018,62.5,34.9,49.7,32.9,,0,,11.4,,44.2,51.78,Partially cloudy
,"30308, USA",,3/24/2018,72.4,49.8,59.7,,,0,,11.9,,91.7,61.13,Overcast
,"30308, USA",,3/25/2018,64.6,42.6,47.4,37.4,,0.5,,13.9,,100,86.6,"Rain, Overcast"
,"30308, USA",,3/26/2018,48.3,45,46.8,38,,0,,16.2,29.8,100,58.19,Overcast
,"30308, USA",,3/27/2018,56.9,45,50,40.1,,0,,9.4,,91.6,74.11,Overcast
,"30308, USA",,3/28/2018,75.3,47.1,61.5,48.6,,0,,15.9,,43.5,72.24,Partially cloudy
,"30308, USA",,3/29/2018,74.3,58,65.7,,,1,,17.5,37,65,74.28,"Rain, Partially cloudy"
,"30308, USA",,3/30/2018,63.4,52.2,59.1,,,0.1,,16.4,,67.6,72.56,"Rain, Partially cloudy"
,"30308, USA",,3/31/2018,67.4,40,54,37.7,,0,,9.7,,9,55.54,Clear
